,Passenger Class,Sex,Age,# Siblings / Spouse,# Parents / Children,Fare,Port Embarked,Survived
0,First,Female,29,0,0,211.34,Southampton,Survived
1,First,Male,1,1,2,151.55,Southampton,Survived
2,First,Female,2,1,2,151.55,Southampton,Did not survive
3,First,Male,30,1,2,151.55,Southampton,Did not survive
4,First,Female,25,1,2,151.55,Southampton,Did not survive
5,First,Male,48,0,0,26.55,Southampton,Survived
6,First,Female,63,1,0,77.96,Southampton,Survived
7,First,Female,53,2,0,51.48,Southampton,Survived
8,First,Male,71,0,0,49.5,Cherbourg,Did not survive
9,First,Male,47,1,0,227.53,Cherbourg,Did not survive
10,First,Female,18,1,0,227.53,Cherbourg,Survived
11,First,Female,24,0,0,69.3,Cherbourg,Survived
12,First,Female,26,0,0,78.85,Southampton,Survived
13,First,Male,80,0,0,30.0,Southampton,Survived
14,First,Male,24,0,1,247.52,Cherbourg,Did not survive
15,First,Female,50,0,1,247.52,Cherbourg,Survived
16,First,Female,32,0,0,76.29,Cherbourg,Survived
17,First,Male,36,0,0,75.24,Cherbourg,Did not survive
18,First,Male,37,1,1,52.55,Southampton,Survived
19,First,Female,47,1,1,52.55,Southampton,Survived
20,First,Male,26,0,0,30.0,Cherbourg,Survived
21,First,Female,42,0,0,227.53,Cherbourg,Survived
22,First,Female,29,0,0,221.78,Southampton,Survived
23,First,Male,25,0,0,26.0,Cherbourg,Did not survive
24,First,Male,25,1,0,91.08,Cherbourg,Survived
25,First,Female,19,1,0,91.08,Cherbourg,Survived
26,First,Female,35,0,0,135.63,Southampton,Survived
27,First,Male,28,0,0,26.55,Southampton,Survived
28,First,Male,45,0,0,35.5,Southampton,Did not survive
29,First,Male,40,0,0,31.0,Cherbourg,Survived
30,First,Female,30,0,0,164.87,Southampton,Survived
31,First,Female,58,0,0,26.55,Southampton,Survived
32,First,Male,42,0,0,26.55,Southampton,Did not survive
33,First,Female,45,0,0,262.38,Cherbourg,Survived
34,First,Female,22,0,1,55.0,Southampton,Survived
35,First,Male,41,0,0,30.5,Southampton,Did not survive
36,First,Male,48,0,0,50.5,Cherbourg,Did not survive
37,First,Female,44,0,0,27.72,Cherbourg,Survived
38,First,Female,59,2,0,51.48,Southampton,Survived
39,First,Female,60,0,0,76.29,Cherbourg,Survived
40,First,Female,41,0,0,134.5,Cherbourg,Survived
41,First,Male,45,0,0,26.55,Southampton,Did not survive
42,First,Male,42,0,0,26.29,Southampton,Survived
43,First,Female,53,0,0,27.45,Cherbourg,Survived
44,First,Male,33,0,0,5.0,Southampton,Did not survive
45,First,Male,28,0,0,47.1,Southampton,Did not survive
46,First,Male,17,0,0,47.1,Southampton,Did not survive
47,First,Male,11,1,2,120.0,Southampton,Survived
48,First,Female,14,1,2,120.0,Southampton,Survived
49,First,Male,36,1,2,120.0,Southampton,Survived
50,First,Female,36,1,2,120.0,Southampton,Survived
51,First,Male,49,0,0,26.0,Southampton,Did not survive
52,First,Male,36,1,0,78.85,Southampton,Did not survive
53,First,Female,76,1,0,78.85,Southampton,Survived
54,First,Male,46,1,0,61.17,Southampton,Did not survive
55,First,Female,47,1,0,61.17,Southampton,Survived
56,First,Male,27,1,0,53.1,Southampton,Survived
57,First,Female,33,1,0,53.1,Southampton,Survived
58,First,Female,36,0,0,262.38,Cherbourg,Survived
59,First,Female,30,0,0,86.5,Southampton,Survived
60,First,Male,45,0,0,29.7,Cherbourg,Survived
61,First,Male,27,1,0,136.78,Cherbourg,Did not survive
62,First,Female,26,1,0,136.78,Cherbourg,Survived
63,First,Female,22,0,0,151.55,Southampton,Survived
64,First,Male,47,0,0,25.59,Southampton,Did not survive
65,First,Female,39,1,1,83.16,Cherbourg,Survived
66,First,Male,37,1,1,83.16,Cherbourg,Did not survive
67,First,Female,64,0,2,83.16,Cherbourg,Survived
68,First,Female,55,2,0,25.7,Southampton,Survived
69,First,Male,70,1,1,71.0,Southampton,Did not survive
70,First,Female,36,0,2,71.0,Southampton,Survived
71,First,Female,64,1,1,26.55,Southampton,Survived
72,First,Male,39,1,0,71.28,Cherbourg,Did not survive
73,First,Female,38,1,0,71.28,Cherbourg,Survived
74,First,Male,51,0,0,26.55,Southampton,Survived
75,First,Male,27,0,0,30.5,Southampton,Survived
76,First,Female,33,0,0,151.55,Southampton,Survived
77,First,Male,31,1,0,52.0,Southampton,Did not survive
78,First,Female,27,1,2,52.0,Southampton,Survived
79,First,Male,31,1,0,57.0,Southampton,Survived
80,First,Female,17,1,0,57.0,Southampton,Survived
81,First,Male,53,1,1,81.86,Southampton,Survived
82,First,Male,4,0,2,81.86,Southampton,Survived
83,First,Female,54,1,1,81.86,Southampton,Survived
84,First,Male,50,1,0,106.42,Cherbourg,Did not survive
85,First,Female,27,1,1,247.52,Cherbourg,Survived
86,First,Female,48,1,0,106.42,Cherbourg,Survived
87,First,Female,48,1,0,39.6,Cherbourg,Survived
88,First,Male,49,1,0,56.93,Cherbourg,Survived
89,First,Male,39,0,0,29.7,Cherbourg,Did not survive
90,First,Female,23,0,1,83.16,Cherbourg,Survived
91,First,Female,38,0,0,227.53,Cherbourg,Survived
92,First,Female,54,1,0,78.27,Cherbourg,Survived
93,First,Female,36,0,0,31.68,Cherbourg,Did not survive
94,First,Male,36,0,0,26.39,Southampton,Survived
